Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
103958,0,1St Drumgooland Scout Group,05/10/2015,Due documents received late,30 March 2019,6900,7343,0,0,0,"The Scout Association Ni Headquarte, 109 Old Milltown Road, Belfast, County Down, Northern Ireland, BT8 7SP",,stephenharte1@hotmail.com,02890492829,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Victim support,Youth (14-25 year olds)","Community development,Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103959,0,Armagh/St Marks/Armagh/Church Of Ireland,25/09/2015,Up-to-date,31 December 2018,198109,206455,0,0,0,"44 Victoria Street, Armagh, BT61 9DT",www.stmarksarmagh.org,sec.stmarks@gmail.com,02837523197,0,The advancement of religion,General public,Religious activities,
103960,0,St Patricks Broughshane Scout Group,01/10/2015,Up-to-date,31 March 2019,2020,1391,0,0,0,"The Rectory, 49 Rectory Gardens, Broughshane, Ballymena, BT42 4LF",,,02825863093,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103961,0,Anahilt Scout Group,23/09/2015,Up-to-date,31 March 2019,4330,5191,0,0,0,"10 Spirehill Road, Hillsborough, County Down, BT26 6LU",,,02892682574,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Community development,Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103962,0,2Nd Holywood Scouts,24/09/2015,Up-to-date,31 March 2019,23682,22580,0,0,0,"72 Church Road, Holywood, County Down, BT18 4UQ",,,02895 433941,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Community development,Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103963,0,Aghaloo And Blackwater Community Association,29/04/2016,Up-to-date,31 December 2018,14327,5801,0,0,0,"Market House, 70 Moore Street, Aughnacloy, County Tyrone, BT69 6AY",http://www.aghaloocommunity.com,aghaloo@btinternet.com,028 8555 7471,615066,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of environmental protection or improvement","Adult training,Children (5-13 year olds),General public,Older people,Preschool (0-5 year olds),Youth (14-25 year olds)","Community development,Community enterprise,Cross-border/cross-community,Cultural,Education/training,General charitable purposes,Rural development,Sport/recreation,Youth development",
103964,0,Armagh/Aghavilly/St Marys/Armagh/Church Of Ireland,28/09/2015,Up-to-date,31 December 2018,47381,55492,0,0,0,"16 Derryhaw Road, Tynan, Armagh, BT60 4SS",,mhhagan@hotmail.com,028 37568619,0,The advancement of religion,General public,Religious activities,
103965,0,3Rd Newtownards Scout Group,28/09/2015,Up-to-date,31 March 2019,26000,25000,0,0,0,"St. Marks Church Of Ireland, Church Street, Newtownards, County Down, BT23 4AN",www.stmarksnewtownards.co.uk,gsl3rdnewtownards@countydownscouts.org.uk,028 9181 3193,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Community development,Cross-border/cross-community,Cultural,Sport/recreation,Volunteer development",
103966,0,Tynan/St Vindics/Armagh/Church Of Ireland,05/10/2015,Up-to-date,31 December 2018,41597,42862,0,0,0,"195 Killylea Road, Tynan, Armagh, BT60 4RF",,,02837568372,0,The advancement of religion,General public,Religious activities,
103967,0,Armagh/Brantry/Holy Trinity/Armagh/Church Of Ireland,12/10/2015,Up-to-date,31 December 2018,130746,97997,0,0,0,"36 Brantry Road, Dungannon, County Tyrone, BT70 1LJ",,helenandjohn5@gmail.com,028 37568774,0,The advancement of religion,General public,Religious activities,
103968,0,34Th Belfast Senior Section,02/11/2015,Up-to-date,31 December 2019,270,821,0,0,0,"The Guide Association, Lorne, 30 Station Road, Holywood, BT18 0BP",www.girlguidingulster.org.uk,info@girlguidingulster.org.uk,02890425212,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Women,Youth (14-25 year olds)","Education/training,Gender,Sport/recreation,Volunteer development,Youth development",
103969,0,Middletown/St Johns/Armagh/Church Of Ireland,24/09/2015,Up-to-date,31 December 2018,39838,21386,0,0,0,"The Rectory, 16 Derryhaw Road, Tynan, Co Armagh, BT60 4SS",,info@mp-ch.com,02837568619,0,The advancement of religion,General public,Religious activities,
103970,0,Caledon/St Johns/Armagh/Church Of Ireland,01/10/2015,Up-to-date,31 December 2018,39866,57101,0,0,0,"72 Minterburn Road, Caledon, County Tyrone, BT68 4XH",,fwatkins123@btinternet.com,02837568557,0,The advancement of religion,General public,Religious activities,
103971,0,6Th Ards Sea Scout Group,01/10/2015,Up-to-date,31 March 2019,21884,21932,0,0,0,"C/O Regent St Presbyterian Church, 48A Regent Street, Newtownards, County Down, BT23 4LP",,,028 9181 22416,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Animal welfare,Community development,Cross-border/cross-community,Cultural,Sport/recreation",
103974,0,Bangor Sea Cadets,07/10/2015,Up-to-date,31 March 2019,66706,64367,0,0,0,"2 Mcclay Fold, Bangor, BT20 5LL",www.sea-cadets.org,,07974955821,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Community safety/crime prevention,Volunteers,Youth (14-25 year olds)","Cross-border/cross-community,Education/training,Sport/recreation,Volunteer development,Youth development",
103975,0,Irish Christian Charity Services,13/10/2015,Up-to-date,05 April 2019,23498,26288,0,0,0,"1 The Chase, Parkgate, Ballyclare, County Antrim, BT39 0JT",,,02894433744,0,"The advancement of education,The advancement of religion,The advancement of citizenship or community development","Adult training,Voluntary and community sector",Grant making,
103976,0,The Welcome Organisation,05/07/2016,Up-to-date,31 March 2019,1144983,1168989,0,0,0,"Unit 36-37 Townsend Enterprise Park, 28 Townsend Street, Belfast, BT13 2ES",www.homelessbelfast.org,info@homelessbelfast.org,02890240424,0,"The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Ethnic minorities,Ex-offenders and prisoners,General public,Homelessness,Interface communities,Men,Mental health,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Accommodation/housing,Advice/advocacy/information,Arts,Community development,Education/training,Relief of poverty,Volunteer development,Welfare/benevolent",
103977,0,Bangor Drama Club Ltd,02/12/2015,Up-to-date,31 March 2019,19132,12919,0,0,0,"12 Bishopscourt Road, Kilclief, Downpatrick, BT30 7NU",www.bangordramaclub.com,bangordramaclub@gmail.com,07922100023,0,"The advancement of education,The advancement of the arts, culture, heritage or science,Other charitable purposes","Adult training,General public,Youth (14-25 year olds)","Arts,Education/training,Sport/recreation",
103978,0,1St Lisnaskea Brownies,28/09/2015,Up-to-date,31 March 2020,1064,916,0,0,0,"The Guide Association, 30 Station Road, Holywood, County Down, BT18OBP",www.girlguidingulster.org.uk,info@girlguidingulster.org.uk,02890425212,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Women,Youth (14-25 year olds)","Education/training,Gender,Sport/recreation,Volunteer development,Youth development",
103979,0,1St Lisnaskea Guide & Senior Section,28/09/2015,Up-to-date,31 March 2020,11219,12440,0,0,0,"The Guide Association, 30 Station Road, Holywood, County Down, BT18 0BP",www.girlguidingulster.org.uk,info@girlguidingulster.org.uk,02890425212,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Women,Youth (14-25 year olds)","Education/training,Gender,Sport/recreation,Volunteer development,Youth development",
103980,0,7Th Bangor Scout Group,28/09/2015,Up-to-date,31 March 2019,9770,8212,0,0,0,"West Presbyterian Church, 91 Crawfordsburn Road, Bangor, County Down, BT19 1BG",,,02891270029,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Community development,Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103981,0,Girlguiding Fermanagh,23/10/2015,Up-to-date,31 March 2019,14694,14427,0,0,0,"The Guide Association, 30 Station Road, Holywood, County Down, BT18 0BP",www.girlguidingulster.org.uk,info@girlguidingulster.org.uk,02890425212,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Women,Youth (14-25 year olds)","Education/training,Gender,Sport/recreation,Volunteer development,Youth development",
103982,0,Belfast Formidable Sea Cadets,28/09/2015,Up-to-date,31 March 2019,6475,8988,0,0,0,"46 Oakley Avenue, Holywood, BT18 9PA",www.sea-cadets.org/belfastformidable,belfastseacadets@gmail.com,07849148039,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Community development,Education/training,General charitable purposes,Volunteer development,Youth development",
103983,0,Down And Connor Diocesan Trust,17/12/2015,Up-to-date,31 December 2018,18858000,20669000,0,0,0,"Down And Connor Diocesan Trust, Lisbreen, 75 Somerton Road, Belfast, BT15 4DE",www.downandconnor.org,,02890776185,0,"The prevention or relief of poverty,The advancement of religion,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Children (5-13 year olds),Ethnic minorities,General public","Accommodation/housing,Advice/advocacy/information,Counselling/support,Education/training,Relief of poverty,Religious activities,Volunteer development,Welfare/benevolent,Youth development",
103984,0,Age Concern Larne,10/02/2016,Up-to-date,31 December 2018,9737,9545,0,0,0,"15 Point Street, Larne, Co Antrim, BT40 1HY",,,02828273996,0,"The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Older people,Voluntary and community sector","Advice/advocacy/information,Community development,Counselling/support,Disability,General charitable purposes",
103985,0,First Cookstown Scout Group,30/09/2015,Up-to-date,31 March 2019,6245,5545,0,0,0,"First Presbyterian Church, 71-73 James Street, Cookstown, County Tyrone, BT80 8AE",,info@scoutsni.org,02886762364,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Community development,Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103986,0,The Aisling Foundation,29/02/2016,Removed,31 March 2018,5993,6830,0,0,0,"66A Drumnaconagher Road, Crossgar, Downpatrick, County Down, BT30 9JH",,,02844831275,0,The advancement of health or the saving of lives,General public,Grant making,
103987,0,Craigavon Area Compassion Project,27/09/2016,Due documents received late,30 November 2018,14702,15171,0,0,0,"29 Toberhewny Lodge, Lurgan, Lurgan, Armagh, BT66 7FL",www.craigavonfoodbank.com,info@craigavonfoodbank.com,07866605027,0,"The prevention or relief of poverty,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Asylum seekers/refugees,Children (5-13 year olds),Ethnic minorities,Ex-offenders and prisoners,General public,Homelessness,Men,Mental health,Older people,Parents,Preschool (0-5 year olds),Travellers,Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Counselling/support,Education/training,Relief of poverty,Volunteer development",
103988,0,Malaika Orphanage Group,07/09/2016,Up-to-date,05 April 2019,18247,17995,0,0,0,"56, Ballintrain Road, Sixmilecross, Omagh, BT79 9JL",malaikaempowermentcenter.kenya,malaikagirls@outlook.com,02880761645,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Hiv/aids,"Accommodation/housing,Education/training",
